# Bài tập chiến thuật trung cuộc — đường A.
#
# Sinh bằng tool/generate_tactics_test.dart từ ván MÁY TỰ ĐỐI,
# rồi lọc: chỉ giữ thế có đúng một nước hơn nước nhì ít nhất
# 300 điểm quân, xác nhận lại ở độ sâu 6.
#
# KHÁC KHO CỜ THẾ: bài chiếu hết thì CHỨNG MINH ĐƯỢC bằng bộ
# giải. Bài ở đây chỉ có MÁY PHÁN là hơn — máy sâu hơn có thể
# nghĩ khác. Đừng trộn hai kho vào nhau.
#
# Dạng: fen|nước đúng|hơn nước nhì bao nhiêu điểm
3akab2/4c4/2n1b1n1R/p1p1p3p/9/5rP2/P1P5P/3CBC3/4AN3/R3KA3 b - - 0 18|g9i7|561
4kab1r/3na4/4bc3/p7p/4p4/4N4/P1P5P/1N2B4/3CA4/4KABR1 b - - 0 20|e5e4|530
1Rbakab2/9/n5n2/p1p1p1p1p/9/6P1P/P1P1c2r1/N1C1C4/4A4/2B1KAB1R b - - 0 11|a7b9|864
2bakabnr/2C6/1c7/p3p3p/c5P2/9/P3P3P/R8/1r7/1NBAKABNR b - - 6 9|a5a2|445
3ak4/4a4/b2c2c1b/4p4/2R5p/R8/4P1P1P/7N1/C3A4/1rBK1A3 b - - 0 33|a7c5|904
1rbakab1C/9/6n2/p1p5p/4P1p2/9/P3c3P/Bc2n4/4A4/RN2KABNR w - - 0 13|g0e2|448
2baka3/2r5c/2n1b1n2/p3p1p2/2R1c4/6P2/P8/R1N1C4/4A4/2BAK1BNC b - - 0 22|e7c5|374
3aka3/2r5c/4b1n2/p3p1p2/2b6/4N1P2/P8/n3C1N2/4A4/2BAK1B1C w - - 0 28|c0a2|348
1r1ak1br1/4a2N1/4b3n/p4c2p/9/5C3/P3c3P/4B2C1/4A4/2R1KAB1R w - - 10 19|h2h9|464
3akab1r/4n4/R1c1b4/p1p3R1p/9/9/2N1P3P/2CrC4/4N4/2BAKAB2 b - - 0 16|c7c3|322
4kab1r/3Pa4/9/3C2R2/1n2R4/8p/9/r3C4/4A4/3AK1B2 b - - 3 29|a2e2|28572
2bnka2r/4a4/3cb4/p5p1p/2R1P4/5CP2/P1P5P/3nB1N2/3N5/R3KAB2 b - - 1 19|e7c5|452
C1bakab1r/9/2n1C4/p5p1p/2p6/9/P2nP1c1P/B1N6/4A4/2R1KABNR b - - 2 11|g9e7|343
C1bak4/1N2a4/4b4/p5p1p/2p1P4/9/P6RP/6n2/5rN2/4KcB1R w - - 0 25|h3h9|454
